shape,dtype,config,latency_us,status
"(1, 32, 64)",float16,"(1, 32, 64)",2.5334,OK
"(1, 32, 128)",float16,"(1, 32, 128)",1.3121,OK
"(1, 32, 2048)",float16,"(1, 32, 256)",2.6268,OK
"(1, 22, 127)",float16,"(1, 22, 127)",1.4680,OK
"(1, 44, 255)",float16,"(1, 44, 255)",1.5814,OK
"(1, 88, 1025)",float16,"(1, 88, 256)",5.3748,OK
"(32, 1632, 1025)",float16,"(32, 256, 256)",17.4764,OK
"(1, 32, 64)",float32,"(1, 32, 64)",1.3360,OK
"(1, 32, 128)",float32,"(1, 32, 128)",1.4400,OK
"(1, 32, 2048)",float32,"(1, 32, 256)",2.8721,OK
"(1, 22, 127)",float32,"(1, 22, 127)",1.4594,OK
"(1, 44, 255)",float32,"(1, 44, 255)",1.8861,OK
"(1, 88, 1025)",float32,"(1, 88, 256)",6.1901,OK
"(32, 1632, 1025)",float32,"(32, 256, 256)",ERROR,ERROR
